Squad,Comp,# Pl,Age,Poss,MP,Starts,Team Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,TeamTouches90,Opp Touches
Ajaccio,fr Ligue 1,36,29.1,43.2,38,418,3420,38.0,22,12,34,16,6,9,86,10,36.1,29.4,22.7,52.1,487,1169,0.58,0.32,0.89,0.42,0.74,0.95,0.6,507.1315789473685,24302
Almería,es La Liga,29,26.4,45.1,38,418,3420,38.0,49,33,82,47,2,3,98,4,45.5,43.2,32.5,75.6,569,1090,1.29,0.87,2.16,1.24,2.11,1.2,0.85,528.1578947368421,23157
Angers,fr Ligue 1,33,25.7,46.9,38,418,3420,38.0,31,18,49,27,4,4,69,5,40.9,37.8,28.0,65.7,632,1393,0.82,0.47,1.29,0.71,1.18,1.08,0.74,566.1842105263158,23892
Arsenal,eng Premier League,26,24.7,59.3,38,418,3420,38.0,84,64,148,81,3,4,51,0,71.9,69.1,53.8,122.9,824,2049,2.21,1.68,3.89,2.13,3.82,1.89,1.41,681.8157894736842,19203
Aston Villa,eng Premier League,26,27.0,49.3,38,418,3420,38.0,49,35,84,46,3,4,80,1,50.2,47.2,38.8,86.0,637,1242,1.29,0.92,2.21,1.21,2.13,1.32,1.02,565.8157894736842,22020
Atalanta,it Serie A,27,26.5,49.9,38,418,3420,38.0,64,42,106,58,6,8,83,3,57.7,51.3,42.7,93.9,687,1637,1.68,1.11,2.79,1.53,2.63,1.52,1.12,627.9473684210526,23959
Athletic Club,es La Liga,26,27.4,51.6,38,418,3420,38.0,46,33,79,41,5,7,81,5,54.2,48.7,38.9,87.6,864,1816,1.21,0.87,2.08,1.08,1.95,1.43,1.02,598.3157894736842,21993
Atlético Madrid,es La Liga,27,28.5,50.6,38,418,3420,38.0,68,51,119,67,1,1,92,8,62.3,61.5,48.5,110.0,730,1571,1.79,1.34,3.13,1.76,3.11,1.64,1.28,642.5263157894736,24043
Augsburg,de Bundesliga,34,25.9,41.7,34,374,3060,34.0,41,29,70,37,4,5,96,5,34.7,30.9,24.3,55.2,331,847,1.21,0.85,2.06,1.09,1.94,1.02,0.71,488.38235294117646,21970
Auxerre,fr Ligue 1,33,27.3,43.3,38,418,3420,38.0,32,17,49,25,7,9,54,6,42.7,35.7,27.2,62.9,531,1284,0.84,0.45,1.29,0.66,1.11,1.12,0.72,535.7631578947369,24994
Barcelona,es La Liga,29,25.9,64.3,38,418,3420,38.0,69,56,125,69,0,2,83,6,75.5,74.0,60.1,134.1,963,2180,1.82,1.47,3.29,1.82,3.29,1.99,1.58,747.5263157894736,17703
Bayern Munich,de Bundesliga,28,26.6,64.2,34,374,3060,34.0,90,67,157,87,3,5,49,3,75.0,71.0,56.6,127.7,863,2041,2.65,1.97,4.62,2.56,4.53,2.2,1.67,786.5,16907
Betis,es La Liga,30,28.6,50.6,38,418,3420,38.0,43,26,69,35,8,9,82,15,51.8,44.8,35.1,79.9,620,1272,1.13,0.68,1.82,0.92,1.61,1.36,0.92,591.578947368421,21953
Bochum,de Bundesliga,26,29.4,46.1,34,374,3060,34.0,37,28,65,34,3,3,64,1,40.0,37.7,28.4,66.0,350,1022,1.09,0.82,1.91,1.0,1.82,1.18,0.83,514.0588235294117,19950
