Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,G+A,Glsxx,Goals,Shots,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,AvgShotDistance,FKShots,PK,PKsAtt,xG,npxG,npxG/Sh,G-xG,npG-xG,PassesCompleted,PassesAttempted,TotCmp%,TotalPassDist,ProgPassDist,ShortPassCmp,ShortPassAtt,ShortPassCmp%,MedPassCmp,MedPassAtt,MedPassCmp%,LongPassCmp,LongPassAtt,LongPassCmp%,Assists,xAG,xA,A-xAG,KeyPasses,Final1/3Cmp,PenAreaCmp,CrsPenAreaCmp,ProgPasses,LivePass,DeadPass,FKPasses,ThruBalls,Switches,Crs,ThrowIn,CK,InSwingCK,OutSwingCK,StrCK,Cmpxxx,PassesToOff,PassesBlocked,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef,Tkl,TklWinPoss,Def3rdTkl,Mid3rdTkl,Att3rdTkl,DrbTkl,DrbPastAtt,DrbTkl%,DrbPast,Blocks,ShBlocks,PassBlocks,Int,Tkl+Int,Clr,Err,Touches,DefPenTouch,Def3rdTouch,Mid3rdTouch,Att3rdTouch,AttPenTouch,LiveTouch,AttDrb,SuccDrb,DrbSucc%,TimesTackled,TimesTackled%,Carries,TotalCarryDistance,ProgCarryDistance,ProgCarries,CarriesToFinalThird,CarriesToPenArea,CarryMistakes,Disposesed,ReceivedPass,ProgPassesRec,Yellows,Reds,Yellow2,Fls,Fld,Off,PKwon,PKcon,OG,Recov,AerialWins,AerialLoss,AerialWin%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKsFaced,PKA,PKsv,PKm,Save%,PKGA,FKGA,CKGA,OGA,PSxG,PSxG/SoT,PSxG+/-,PSxG+/- /90,LaunchCmp,LaunchAtt,LaunchPassCmp%,PassAtt,PassThr,PassesLaunch%,AvgLenLaunch,GoalKicksAtt,GoalKicksLaunch%,AvgLen,OppCrs,StpCrs,CrsStp%,#OPA,#OPA/90,AvgDistOPA
Aaron Ramsdale,eng ENG,GK,Arsenal,eng Premier League,24,1998,38,38,3420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761.0,1111.0,68.5,18974.0,13109.0,190.0,196.0,96.9,383.0,390.0,98.2,186.0,519.0,35.8,0.0,0.0,0.0,0.0,0.0,30.0,2.0,0.0,8.0,872.0,237.0,83.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,761.0,2.0,3.0,3.0,0.08,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,6.0,1196.0,872.0,1170.0,28.0,0.0,0.0,1196.0,1.0,1.0,100.0,0.0,0.0,722.0,3934.0,2459.0,0.0,1.0,0.0,0.0,0.0,629.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,33.0,6.0,0.0,100.0,43.0,1.13,136.0,94.0,70.6,26.0,6.0,6.0,14.0,36.8,5.0,3.0,0.0,2.0,0.0,3.0,0.0,6.0,1.0,40.0,0.28,-2.0,-0.05,109.0,429.0,25.4,956.0,174.0,35.4,33.3,153.0,59.5,49.2,381.0,22.0,5.8,43.0,1.13,16.1
Agustín Marchesín,ar ARG,GK,Celta Vigo,es La Liga,34,1988,19,19,1710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449.0,635.0,70.7,12898.0,9202.0,81.0,81.0,100.0,206.0,212.0,97.2,161.0,337.0,47.8,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,447.0,184.0,53.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,449.0,4.0,0.0,2.0,0.11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,677.0,550.0,673.0,6.0,0.0,0.0,677.0,0.0,0.0,0.0,0.0,0.0,392.0,1729.0,1123.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,22.0,3.0,0.0,100.0,29.0,1.53,72.0,42.0,62.5,5.0,5.0,9.0,6.0,31.6,4.0,2.0,2.0,0.0,50.0,2.0,1.0,4.0,1.0,20.7,0.24,-7.3,-0.38,103.0,267.0,38.6,500.0,75.0,39.8,35.3,131.0,51.9,42.9,253.0,14.0,5.5,25.0,1.32,18.1
Aitor Fernández,es ESP,GK,Osasuna,es La Liga,31,1991,21,21,1890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518.0,793.0,65.3,18920.0,16063.0,44.0,45.0,97.8,205.0,212.0,96.7,269.0,531.0,50.7,0.0,0.0,0.1,0.0,0.0,33.0,0.0,0.0,1.0,528.0,261.0,87.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,518.0,4.0,0.0,4.0,0.19,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,17.0,0.0,846.0,701.0,835.0,11.0,0.0,0.0,846.0,0.0,0.0,0.0,0.0,0.0,443.0,2217.0,1515.0,0.0,0.0,0.0,1.0,0.0,335.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,3.0,1.0,75.0,19.0,0.9,77.0,59.0,75.3,10.0,5.0,6.0,8.0,38.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.7,0.24,-0.3,-0.01,191.0,438.0,43.6,615.0,87.0,50.9,41.1,174.0,71.8,54.2,319.0,14.0,4.4,37.0,1.76,16.3
Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,23,1999,37,37,3329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,835.0,1191.0,70.1,25417.0,19277.0,118.0,119.0,99.2,386.0,395.0,97.7,329.0,672.0,49.0,0.0,0.1,0.1,-0.1,1.0,16.0,1.0,0.0,1.0,840.0,349.0,102.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,835.0,2.0,2.0,7.0,0.19,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,1312.0,1112.0,1309.0,4.0,0.0,0.0,1312.0,3.0,1.0,33.3,2.0,66.7,864.0,4528.0,2496.0,1.0,0.0,0.0,2.0,0.0,547.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,46.0,7.0,1.0,87.5,54.0,1.46,179.0,129.0,74.9,7.0,14.0,16.0,11.0,29.7,9.0,9.0,0.0,0.0,0.0,9.0,1.0,6.0,4.0,54.8,0.26,4.8,0.13,189.0,516.0,36.6,942.0,202.0,37.2,35.5,247.0,67.2,49.3,493.0,42.0,8.5,39.0,1.05,12.3
Alessandro Russo,it ITA,GK,Sassuolo,it Serie A,21,2001,1,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,50.0,74.0,750.0,387.0,16.0,16.0,100.0,15.0,15.0,100.0,6.0,19.0,31.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,55.0,47.0,55.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,33.0,125.0,68.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,7.0,4.0,57.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.4,-0.2,-0.22,0.0,12.0,0.0,42.0,2.0,28.6,30.7,8.0,0.0,18.3,14.0,0.0,0.0,0.0,0.0,10.0
Alessio Cragno,it ITA,GK,Monza,it Serie A,28,1994,1,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,31.0,93.5,621.0,431.0,7.0,7.0,100.0,18.0,18.0,100.0,4.0,6.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,26.0,32.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,19.0,101.0,61.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,5.0,2.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.35,-1.3,-1.33,2.0,4.0,50.0,25.0,4.0,12.0,22.6,6.0,16.7,33.3,7.0,0.0,0.0,2.0,2.0,25.7
Alex Cordaz,it ITA,GK,Inter,it Serie A,39,1983,1,0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,20.0,55.0,274.0,200.0,4.0,4.0,100.0,3.0,4.0,75.0,4.0,11.0,36.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,19.0,21.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,13.0,42.0,14.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.26,0.5,1.77,1.0,7.0,14.3,15.0,3.0,26.7,33.5,5.0,60.0,52.0,7.0,0.0,0.0,0.0,0.0,0.0
Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,32,1989,6,6,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,249.0,60.2,3585.0,2452.0,45.0,47.0,95.7,64.0,66.0,97.0,40.0,132.0,30.3,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,178.0,68.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,3.0,0.0,1.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,261.0,205.0,260.0,1.0,0.0,0.0,261.0,0.0,0.0,0.0,0.0,0.0,139.0,546.0,264.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,100.0,17.0,2.83,30.0,14.0,46.7,0.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,10.9,0.34,-5.1,-0.84,22.0,113.0,19.5,194.0,29.0,48.5,36.5,52.0,36.5,31.0,92.0,6.0,6.5,7.0,1.17,13.5
Alex Meret,it ITA,GK,Napoli,it Serie A,25,1997,34,34,3060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,818.0,931.0,87.9,18824.0,11619.0,189.0,189.0,100.0,438.0,441.0,99.3,188.0,298.0,63.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,688.0,243.0,45.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,818.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,974.0,828.0,972.0,2.0,0.0,0.0,974.0,0.0,0.0,0.0,0.0,0.0,544.0,2256.0,1190.0,0.0,0.0,0.0,0.0,0.0,476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,4.0,0.0,100.0,24.0,0.71,91.0,66.0,74.7,26.0,5.0,3.0,16.0,47.1,2.0,1.0,1.0,0.0,50.0,1.0,0.0,1.0,0.0,25.0,0.25,1.0,0.03,56.0,145.0,38.6,733.0,121.0,14.3,26.1,198.0,20.2,26.9,335.0,11.0,3.3,39.0,1.15,17.0
Alexander Meyer,de GER,GK,Dortmund,de Bundesliga,31,1991,7,7,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,323.0,86.7,6953.0,4124.0,56.0,57.0,98.2,145.0,146.0,99.3,79.0,117.0,67.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,261.0,61.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,1.0,2.0,1.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,335.0,230.0,327.0,7.0,1.0,1.0,335.0,0.0,0.0,0.0,0.0,0.0,216.0,1193.0,669.0,0.0,0.0,0.0,0.0,0.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,100.0,12.0,1.71,32.0,20.0,62.5,3.0,2.0,2.0,1.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.9,0.25,-4.1,-0.58,24.0,60.0,40.0,278.0,35.0,16.2,27.3,44.0,34.1,35.0,91.0,8.0,8.8,18.0,2.57,19.8
